A1 Jock Goodyer 
Q2 Brent Kratzmann
S2 Craig Vanderstelt
S3 Ben Morris 
USA2 Justin Peck 🇺🇸
V2 Domain Ramsay
W2 Kerry Madsen
V3 Kaidon Brown 
W3 Callum Williamson
D5 James McFadden 
Q5 Brock Hallett
V6 Cameron Waters 
NQ7 Lockie McHugh
T7 Tim Hutchins 
V8 Bobby Daly 
W8 Andrew Priolo
N9 Lachlan Caunt
NQ9 Nathan McFarlane
USA9 Chase Randall 🇺🇸
V9 Jordan Rae 
Q9 Kye Jensen 
T9 Chris Johns 
N10 Luke Stirton
NT10 Blake Walsh 
V10 Steven Loader 
Q10 Adam Butler
NQ10 Jy Corbett
S11 Scott Enderl
VA11 Phil Micallef
VA12 Mark Carlin 
V11 Chris Solomon 
S14 Brendan Quinn 
T14 Mark House 
N15 Luke Thomas
V15 David Dennison 
VA15 Dane Court 
N16 Daniel Sayre
Q16 Cody Maroske 
Q17 Luke Oldfield
V17 Dennis Jones 
W17 Cory Eliason 🇺🇸
S20 Glen Sutherland
NS21 Jordyn Brazier
S24 Ricky Maiolo 
NT25 Will Carroll 
USA24 Rico Abreu 🇺🇸
USA25 Sheldon Haudenschild 🇺🇸
V25 Jack Lee
W26 James Inglis
S27 Daniel Pestka 
V28 Andrew Hughes
T33 Brodie Appleby 
V35 Jamie Veal
VA36 Ashley Cook 
N36 Kye Scroop (WA)
V37 Grant Anderson
S38 Locky McDonough 
N42 Zac Pacchiarotta
N43 Alex Orr
V43 Corey Sandow
T45 Chad Gardner
NS45 Jai Stephenson 
USA45 Riley Goodno 🇺🇸
Q46 Dylan Menz
N47 Marcus Dumesny
V48 Adam King 
N48 Jackson Delamont
N49 Jamie Matherson 
S52 Matt Egel
N53 Alex Attard 
Q54 Randy Morgan
N55 Jesse Attard
T55 Jamie Bricknell
V55 Parker Scott 
N56 Mick Saller
NS57 Brendan Scorgie
N57 Matt Dumesny 
V57 Troy Hose
Q59 Kevin Titman 
V60 Jordyn Charge
W60 Kaidon Manders
T62 Tate Frost 
S63 Ryan Jones 
Q66 Ryan Newton
V68 Brett Milburn 
V71 Marcus Green 
V72 Jake Smith 
N72 Coby Elliot
Q75 Darren Jensen
N78 Kobi Wright 
W79 Kris Coyle
S81 Luke Dillon 
USA87 Aaron Reutzel 🇺🇸
VA88 Grant Stansfield 
N88 Rusty Hickman 
V89 Jamie Heyan 
V90 Corey McCullagh 
Q91 Taylor Prosser 
N92 Sam Walsh 
V92 Matt Reed 
USA95 Brock Zearfoss 🇺🇸
NS96 Brett Hobson
V97 Tyler Stralow 
S98 Chad Ely
V98 Peter Doukas 
N99 Carson Macedo 🇺🇸 
